app_id,market_hash_name,market_bucket_id
730,"Music Kit | Tree Adams and Ben Bromfield, M.U.D.D. FORCE",18A20A300488012E
730,Sticker | Monte (Glitter) | Paris 2023,18B909300462050800108D34
730,Souvenir Charm | Austin 2025 Highlight | Blocking B,18CB0A300CA2010408001024
730,Sticker | Clavis (Holo),18B909300462050800108B4A
730,Sticker | Team Liquid (Glitter) | Paris 2023,18B909300462050800109134
730,Sticker | Ribbon Tie,18B90930046205080010E73D
730,Sticker | FURIA (Glitter) | Paris 2023,18B90930046205080010D933
730,Sticker | Hydro Geyser,18B90930046205080010F23D
730,Souvenir Charm | Austin 2025 Highlight | Missed A Spot,18CB0A300CA2010408001024
730,Sticker | TYLOO | 2020 RMR,18B90930046205080010B925
730,Rio 2022 Contenders Sticker Capsule,18FB253004
730,Sticker | IEM | Cologne 2026,18B909300462050800108152
730,Sticker | Scavenger (Holo),18B90930046205080010FA1E
730,Sticker | Baby Cerberus,18B909300462050800108A2E
730,Copenhagen 2024 Contenders Autograph Capsule,18CB263004
730,Sticker | Hydro Stream,18B90930046205080010F33D
730,Sticker | Eternal Fire | Copenhagen 2024,18B909300462050800108639
730,Sticker | NiKo (Champion) | Cologne 2026,18B90930046205080010A657
730,Budapest 2025 Legends Autograph Capsule,18EE283004
730,Sticker | MOUZ (Embroidered) | Budapest 2025,18B90930046205080010A24A
730,Sticker | Eternal Fire | Antwerp 2022,18B90930046205080010D729
730,Sticker | Eyes of Farlow,18B90930046205080010ED49
730,Sealed Graffiti | Death Sentence (Shark White),18C40A30046205080010A20D
730,Sticker | Lorena,18B90930046205080010894A
730,Sticker | Boom Detonation (Glitter),18B90930046205080010D93D
730,"Sticker | donk (Glitter, Champion) | Shanghai 2024",18B90930046205080010DE42
730,Sticker | PGL (Glitter) | Antwerp 2022,18B90930046205080010F829
730,Sticker | Hydro Wave,18B90930046205080010F43D
730,Sticker | Lynn Vision | Copenhagen 2024,18B90930046205080010B239
730,Sticker | Natus Vincere | Copenhagen 2024,18B90930046205080010D638
730,Sticker | NiKo | Budapest 2025,18B90930046205080010EA4B
730,Sticker | m0NESY | Budapest 2025,18B90930046205080010E64B
730,Sticker | Chompers,18B90930046205080010E423
730,Sticker | Cone Zone (Holo),18B90930046205080010F250
730,Sticker | EZ,18B909300462050800109426
730,Sticker | Renegades (Holo) | 2020 RMR,18B90930046205080010B625
730,eSports 2013 Winter Case,18A51F3004
730,Sticker Capsule 2,18AC1F3004
730,Huntsman Weapon Case,18B11F3004
730,Sticker | Gold Web (Foil),18B90930046205080010A023
730,"Sticker | ZywOo (Holo, Champion) | Budapest 2025",18B90930046205080010C850
730,"Music Kit | The Verkkars & n0thing, Flashbang Dance",18A20A300488013D
730,"Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights",18A20A300488014C
730,Anubis Collection Package,1892263004
730,Sticker | Jackass (Holo),18B90930046205080010D657
730,Operation Riptide Case,18B6253004
730,Sticker | Copenhagen Flames (Holo) | Stockholm 2021,18B90930046205080010B327
730,Berlin 2019 Minor Challengers Autograph Capsule,18B3243004
730,Sticker | Boom (Holo) | 2020 RMR,18B90930046205080010B225
730,Shanghai 2024 Champions Autograph Capsule,18F5263004
730,"Music Kit | DRYDEN, Feel The Power",18A20A3004880147
730,Name Tag,18B0093004
730,Rio 2022 Legends Autograph Capsule,1883263004
730,"Music Kit | Perfect World, Ay Hey",18A20A3004880156
730,"Music Kit | Neck Deep, The Lowlife Pack",18A20A3004880134
730,Sticker | MOUZ (Holo) | Paris 2023,18B90930046205080010A234
730,Sticker | FURIA (Foil) | 2020 RMR,18B90930046205080010A725
730,Sticker | Clown Nose,18B90930046205080010E23D
730,Sticker | Coiled Strike,18B90930046205080010CF24
730,Sticker | Fluxo (Holo) | Paris 2023,18B90930046205080010AA34
730,Sticker | G2 Esports (Holo) | Paris 2023,18B90930046205080010F633
730,"Music Kit | Matt Levine, Drifter",18A20A3004880131
730,Sticker | Spirit (Holo) | 2020 RMR,18B909300462050800108A25
730,"Music Kit | Sam Marshall, Clutch",18A20A3004880153
730,Sticker | Team Liquid (Holo) | Paris 2023,18B909300462050800109234
730,Sticker | Tamara,18B90930046205080010C707
730,Sticker | Lucas (Holo),18B909300462050800108D4A
730,Sticker | Heckler,18B90930046205080010D050
730,Sticker | HObbit | Stockholm 2021,18B90930046205080010C228
730,Paris 2023 Champions Autograph Capsule,18A7263004
730,Sticker | BLAST.tv (Gold) | Paris 2023,18B90930046205080010B334
730,Sticker | Cutie (Holo),18B90930046205080010FC49
730,Sticker | Baby Fire Serpent,18B909300462050800108B2E
730,Stockholm 2021 Finalists Autograph Capsule,18D1253004
730,"Music Kit | Tigercub, The Perfume of Decay",18A20A3004880160
730,Sealed Graffiti | Heart (Monster Purple),18C40A30046205080010B80D
730,Sticker | Vice Cursor,18B90930046205080010F649
730,Patch | Wildfire,18812430046205080010D023
730,Sealed Graffiti | Cocky (Shark White),18C40A30046205080010C40D
730,Sealed Graffiti | Jump Shot (Shark White),18C40A30046205080010BC0D
730,Sticker | GO,18B909300462050800109E2E
730,Sticker | From The Deep (Glitter),18B90930046205080010EA3D
730,Sticker | Neo-Hold (Holo),18B90930046205080010F550
730,Sticker | Fnatic (Holo) | Paris 2023,18B90930046205080010D233
730,Sticker | Boom Blast (Glitter),18B90930046205080010DB3D
730,Sticker | Bomb On Board,18B90930046205080010E650
730,Sticker | Clavis,18B90930046205080010884A
730,Sealed Graffiti | Heart (Brick Red),18C40A30046205080010B80D
730,Sticker | Fluxo (Glitter) | Paris 2023,18B90930046205080010A934
730,Sticker | Boom Trail (Glitter),18B90930046205080010DC3D
730,CS:GO Weapon Case 2,18A41F3004
730,Sticker | IHC Esports (Holo) | Rio 2022,18B909300462050800109F2F
730,Operation Hydra Case,1880223004
730,Sticker | Ruby Stream (Lenticular),18B90930046205080010F53D
730,Sticker | Hands Off (Foil),18B90930046205080010824A
730,Sticker | kyousuke | Cologne 2026,18B90930046205080010DE52
730,Antwerp 2022 Challengers Autograph Capsule,18EB253004
730,Sticker | BIG | Stockholm 2021,18B909300462050800108A27
730,Sticker | Radiograph (Foil),18B90930046205080010DF57
730,Sticker | Lorena (Holo),18B909300462050800108C4A
